model,horizon,held_out_season,selected_alpha,term,term_type,coefficient_standardized,coefficient_raw
rainfall_month_level_ridge,1,10-11,100000000.0,intercept,intercept,24608332.533333343,24608332.52284819
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_2,block_fixed_effect,22896325.666666653,22896325.666666653
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_3,block_fixed_effect,23539619.866666656,23539619.866666656
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_4,block_fixed_effect,29966360.066666663,29966360.066666663
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_5,block_fixed_effect,27974925.93333335,27974925.93333335
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_6,block_fixed_effect,20629931.533333313,20629931.533333313
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_7,block_fixed_effect,12596831.73333332,12596831.73333332
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_8,block_fixed_effect,-1502356.5333333593,-1502356.5333333593
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_9,block_fixed_effect,-17400400.533333357,-17400400.533333357
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_10,block_fixed_effect,-24123840.066666685,-24123840.066666685
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_11,block_fixed_effect,-24360882.33333331,-24360882.33333331
rainfall_month_level_ridge,1,10-11,100000000.0,block_fe_12,block_fixed_effect,-20979704.666666664,-20979704.666666664
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_sep,weather,0.00921518484520345,0.00025372471830387904
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_oct,weather,-0.00468103557666732,-0.00011314919431968211
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_nov,weather,0.006920983280655612,0.00015004995507138645
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_dec,weather,0.005509215358462929,0.0001414329503954824
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_jan,weather,-0.0018947772208249075,-3.0041109660773923e-05
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_feb,weather,0.0063718556642742875,0.0001290673583031987
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_mar,weather,-2.391557807907289e-06,-6.350274613939873e-08
rainfall_month_level_ridge,1,10-11,100000000.0,rainfall_apr,weather,0.003951901851574394,0.00014333653106754732
rainfall_month_level_ridge,1,10-11,100000000.0,growing_season_average_temperature,weather,-0.001978162209250396,-0.0023008359245601396
rainfall_month_level_ridge,1,11-12,3.1622776601683795,intercept,intercept,26101652.80000001,25506095.44248845
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_2,block_fixed_effect,21527203.866666652,21527203.866666652
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_3,block_fixed_effect,22309530.399999984,22309530.399999984
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_4,block_fixed_effect,28423789.73333333,28423789.73333333
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_5,block_fixed_effect,26676652.733333323,26676652.733333323
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_6,block_fixed_effect,18727949.06666667,18727949.06666667
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_7,block_fixed_effect,11691055.00000001,11691055.00000001
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_8,block_fixed_effect,-2125172.1333333403,-2125172.1333333403
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_9,block_fixed_effect,-18566804.333333354,-18566804.333333354
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_10,block_fixed_effect,-25597521.86666668,-25597521.86666668
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_11,block_fixed_effect,-25848739.333333306,-25848739.333333306
rainfall_month_level_ridge,1,11-12,3.1622776601683795,block_fe_12,block_fixed_effect,-22417169.533333328,-22417169.533333328
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_sep,weather,188467.02585256606,4413.541534452027
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_oct,weather,-95069.94384597587,-2269.98382735911
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_nov,weather,77087.90511649263,1649.6464343408604
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_dec,weather,89601.90166860909,1770.6489537054033
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_jan,weather,17842.68779893167,286.0046346268757
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_feb,weather,182621.8296766114,3904.1011922356042
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_mar,weather,105503.80453257554,3432.6252243076333
rainfall_month_level_ridge,1,11-12,3.1622776601683795,rainfall_apr,weather,156574.24827650707,5744.705382914469
rainfall_month_level_ridge,1,11-12,3.1622776601683795,growing_season_average_temperature,weather,-46041.60552380391,-53614.036620350926
rainfall_month_level_ridge,1,12-13,100000000.0,intercept,intercept,26555986.53333333,26555986.555274952
rainfall_month_level_ridge,1,12-13,100000000.0,block_fe_2,block_fixed_effect,22089267.86666666,22089267.86666666
